{x=270,m=803,a=872,s=703}
{x=74,m=12,a=2040,s=3428}
{x=20,m=188,a=14,s=1207}
{x=1123,m=108,a=591,s=35}
{x=184,m=410,a=22,s=251}
{x=146,m=1425,a=833,s=1064}
{x=2551,m=1056,a=1433,s=1569}
{x=1883,m=1442,a=108,s=646}
{x=804,m=14,a=1000,s=1944}
{x=160,m=104,a=1040,s=2738}
{x=1185,m=651,a=2981,s=1563}
{x=43,m=1746,a=512,s=1247}
{x=386,m=1151,a=1189,s=1107}
{x=2118,m=2914,a=226,s=75}
{x=3542,m=3035,a=1877,s=584}
{x=120,m=1243,a=575,s=8}
{x=3828,m=1207,a=124,s=7}
{x=142,m=1824,a=2620,s=574}
{x=622,m=713,a=354,s=1178}
{x=107,m=671,a=142,s=446}
{x=230,m=581,a=1034,s=1436}
{x=622,m=521,a=440,s=2084}
{x=671,m=717,a=224,s=535}
{x=64,m=818,a=1947,s=214}
{x=74,m=1639,a=441,s=1224}
{x=625,m=1559,a=3240,s=134}
{x=1738,m=2097,a=197,s=511}
{x=884,m=2434,a=178,s=1287}
{x=1524,m=773,a=201,s=1309}
{x=99,m=24,a=3313,s=812}
{x=216,m=97,a=2561,s=182}
{x=2981,m=399,a=383,s=252}
{x=61,m=439,a=671,s=1747}
{x=309,m=3,a=8,s=2011}
{x=74,m=958,a=87,s=896}
{x=100,m=661,a=1197,s=174}
{x=391,m=284,a=2173,s=348}
{x=1477,m=1641,a=150,s=1475}
{x=1376,m=801,a=10,s=221}
{x=706,m=1658,a=415,s=2618}
{x=137,m=13,a=1319,s=264}
{x=754,m=940,a=245,s=362}
{x=1977,m=987,a=206,s=1058}
{x=1652,m=194,a=1058,s=1236}
{x=66,m=297,a=2194,s=339}
{x=1440,m=1819,a=200,s=923}
{x=221,m=35,a=2729,s=1582}
{x=145,m=503,a=160,s=2628}
{x=643,m=772,a=1129,s=634}
{x=1580,m=5,a=847,s=503}
{x=2069,m=370,a=447,s=465}
{x=2794,m=92,a=1234,s=1493}
{x=2752,m=215,a=305,s=1296}
{x=1769,m=449,a=1991,s=210}
{x=1513,m=405,a=1029,s=1594}
{x=1260,m=1937,a=327,s=959}
{x=165,m=557,a=1077,s=3128}
{x=1263,m=180,a=19,s=72}
{x=369,m=173,a=530,s=1370}
{x=331,m=639,a=567,s=263}
{x=1046,m=2303,a=32,s=461}
{x=106,m=160,a=18,s=1293}
{x=1202,m=48,a=644,s=155}
{x=1411,m=1973,a=68,s=1002}
{x=3082,m=1684,a=1314,s=2303}
{x=781,m=414,a=885,s=341}
{x=294,m=2955,a=2670,s=268}
{x=913,m=49,a=378,s=1057}
{x=67,m=1402,a=910,s=310}
{x=304,m=2341,a=214,s=1026}
{x=668,m=478,a=1233,s=363}
{x=2275,m=3714,a=12,s=57}
{x=2603,m=591,a=1357,s=1809}
{x=7,m=511,a=3472,s=1883}
{x=1305,m=2652,a=1194,s=227}
{x=308,m=2241,a=416,s=2248}
{x=83,m=3545,a=3477,s=372}
{x=2771,m=1273,a=1640,s=816}
{x=3080,m=174,a=542,s=724}
{x=209,m=70,a=534,s=210}
{x=452,m=114,a=679,s=1008}
{x=771,m=294,a=338,s=1258}
{x=1730,m=826,a=345,s=27}
{x=2901,m=1038,a=1499,s=2199}
{x=2066,m=3193,a=957,s=393}
{x=130,m=3257,a=2250,s=253}
{x=235,m=987,a=278,s=597}
{x=2465,m=1268,a=1893,s=2360}
{x=940,m=470,a=435,s=1386}
{x=958,m=392,a=79,s=18}
{x=1513,m=2440,a=1287,s=36}
{x=84,m=361,a=3217,s=28}
{x=2451,m=2374,a=57,s=1242}
{x=251,m=1008,a=1114,s=1458}
{x=2058,m=46,a=657,s=989}
{x=2398,m=463,a=1753,s=917}
{x=1181,m=2013,a=4,s=2832}
{x=1548,m=271,a=6,s=218}
{x=1934,m=240,a=410,s=954}
{x=2328,m=1860,a=1111,s=1487}
{x=2370,m=27,a=694,s=1372}
{x=2299,m=350,a=669,s=360}
{x=2010,m=2306,a=700,s=1297}
{x=349,m=2569,a=223,s=352}
{x=50,m=343,a=49,s=17}
{x=1980,m=82,a=20,s=1637}
{x=1336,m=1955,a=269,s=264}
{x=154,m=3620,a=2,s=818}
{x=623,m=3021,a=2297,s=1911}
{x=2981,m=2825,a=1290,s=69}
{x=493,m=534,a=1029,s=3961}
{x=44,m=1352,a=1311,s=1147}
{x=920,m=389,a=2045,s=1441}
{x=1166,m=930,a=1522,s=291}
{x=51,m=673,a=2995,s=496}
{x=950,m=557,a=24,s=1444}
{x=1261,m=2375,a=234,s=1565}
{x=303,m=464,a=645,s=923}
{x=2077,m=287,a=740,s=1523}
{x=1813,m=370,a=1529,s=111}
{x=861,m=2269,a=1182,s=2074}
{x=111,m=1145,a=543,s=326}
{x=504,m=468,a=2391,s=990}
{x=1701,m=1719,a=2574,s=331}
{x=1123,m=70,a=754,s=2870}
{x=6,m=1068,a=1404,s=2472}
{x=991,m=1306,a=767,s=2885}
{x=50,m=980,a=947,s=856}
{x=1450,m=580,a=869,s=229}
{x=684,m=486,a=1191,s=2639}
{x=100,m=1569,a=66,s=644}
{x=1756,m=138,a=1347,s=3488}
{x=1403,m=562,a=726,s=619}
{x=601,m=2128,a=43,s=953}
{x=40,m=160,a=73,s=161}
{x=556,m=2694,a=792,s=22}
{x=505,m=1755,a=2185,s=391}
{x=2545,m=3215,a=850,s=430}
{x=1256,m=153,a=112,s=1132}
{x=2016,m=2104,a=408,s=2138}
{x=238,m=1081,a=645,s=882}
{x=1735,m=620,a=52,s=34}
{x=39,m=125,a=655,s=269}
{x=233,m=1962,a=601,s=248}
{x=284,m=2418,a=468,s=17}
{x=864,m=2542,a=1040,s=399}
{x=229,m=152,a=753,s=285}
